"phenotype","mean","var"
"2188",0.325393001094111,0.219512395933079
"2207",0.892122314425372,0.0962400905296895
"2227",0.143613210638262,0.122988456368432
"2247_0",0.738061649862247,0.193326650864865
"2247_1",0.261687365672826,0.193207088320043
"2257",0.378947576578536,0.235346310783791
"2316",0.208246009426751,0.164879608984584
"2335",0.157292025051258,0.132551243906532
"2345",0.322144459171584,0.218367406596632
"2365",0.312817820730134,0.214962831763784
"2395_1",0.320412438348556,0.217748307700089
"2395_2",0.229666342688456,0.176919713724565
"2395_3",0.267457093009919,0.195923796408602
"2395_4",0.182464125953069,0.149170968693252
"2415",0.642620537357379,0.229659382323892
"2443",0.0479605321606254,0.0456603195154951
"2453",0.0791958464474514,0.0729238643529231
"2463",0.0968152298874572,0.087442041149296
"2473",0.20577402506571,0.163431075673967
"2492",0.469389795765318,0.249063015396711
"2644",0.456117747704105,0.248074347933439
"2654_7",0.338385219943817,0.223880662867392
"2654_2",0.152808610476922,0.129458139041034
"2654_4",0.124280619062148,0.108834946787677
"2654_5",0.00116258272223216,0.00116123112364613
"2654_6",0.247403915957368,0.186195218326328
"2654_8",0.100134670215788,0.0901077180365634
"2654_9",0.035824381621724,0.0345409953031451
"2664_5",0.526803100728925,0.249281593791315
"2664_1",0.0709675975319511,0.0659311976324941
"2664_2",0.0223079390896272,0.0218102949432007
"2664_3",0.327292532436042,0.220172130647644
"2664_4",0.0526288302134549,0.0498590364438182
"2724",0.731413618982253,0.196447736949537
"2814",0.393474375794139,0.238652291387552
"2834",0.0816071848158108,0.0749474522022489
"2844",0.672494414713981,0.220245676892481
"2877_1",0.886678472159957,0.100479759168041
"2877_2",0.0669999103380256,0.0625109223527222
"2877_3",0.0463216175020174,0.0441759252540142
"2907",0.431024483437006,0.245242378114868
"2956",0.835008222181619,0.137769491070711
"2986",0.121778860798051,0.10694876986078
"3005",0.594112503643253,0.241142836657999
"3079",0.00315629624292674,0.00314633403695362
"3082",0.999412322752344,0.000587331883108176
"3089",0.0208790049001131,0.0204430720544941
"3090",0.00730946098756125,0.00725603276763257
"3159",0.127612165010539,0.111327300351862
"3393",0.0498819281722116,0.047393721414034
"3404",0.690929671735814,0.213545860450854
"3414",0.781383390329747,0.170823387646537
"3446_1",0.692564260595294,0.212919005541388
"3446_2",0.234528513939745,0.17952489008896
"3446_3",0.0729072254649603,0.0675917619399617
"3571",0.685274142786152,0.215673492014857
"3591",0.0815165710885405,0.0748716197265075
"3606",0.172542476272494,0.14277157015425
"3616",0.813124320047473,0.151953160194808
"3731",0.529121920404296,0.249151913751966
"3741",0.557367129458433,0.246709012457699
"3751",0.266075289188045,0.195279229671543
"3773",0.787026315789474,0.167615894044321
"3799",0.457032530171984,0.248153796536579
"3859_5",0.456482246077622,0.248106205093551
"3859_1",0.262510322047894,0.193598652866205
"3859_2",0.0578034682080925,0.0544622272712085
"3859_3",0.203963666391412,0.162362489183585
"3859_4",0.0192402972749794,0.0188701082357498
"3912",0.155118334759053,0.131056636980632
"3942",0.282791185729276,0.202820331003106
"4041",0.112926948847851,0.100174453071766
"4067",0.47726574500768,0.249483153649944
"4291",0.79962248076907,0.160226369017788
"4294_1",0.960560933441355,0.0378836265876277
"4294_0",0.0382614070108328,0.0367974717443842
"4294_9",0.00117765954781214,0.00117627266580159
"4501",0.273022294534101,0.198481121221436
"4598",0.536247398156408,0.248686126126891
"4631",0.368005558209214,0.232577467336339
"4642",0.0560710170287226,0.0529270580780873
"4653",0.178341669577962,0.146535918470107
"4717",0.105231937359117,0.0941581767187641
"4728",0.218636726798705,0.170834708493453
"4803_0",0.709311005921175,0.206188902800266
"4803_11",0.0656503961588707,0.0613404216430541
"4803_12",0.0251013725589997,0.024471293654654
"4803_13",0.0889788093177924,0.0810615808101803
"4803_14",0.110958416043162,0.0986466459523544
"4849_1",0.977686019352686,0.0218160669149853
"4849_0",0.0110944277610944,0.0109713414337483
"4849_11",0.00582248915582249,0.00578858777585282
"4849_12",0.00539706373039706,0.0053679354334871
"4924",0.987139401805203,0.0126952032088688
"4935",0.959236825647045,0.0391015379696259
"4946",0.991871240448708,0.00806268281944974
"4957",0.845379446132774,0.130713038189018
"4968",0.85006482842078,0.12745461590273
"4979",0.493330745615583,0.249955521045956
"4990",0.684510819036807,0.215955757658367
"5001",0.87542573320719,0.109055518845844
"5012",0.648496538603816,0.227948778022686
"5181",0.0728926819501452,0.0675793388682601
"5182_1",0.998718682357625,0.00127967586747488
"5183",0.0104247008185505,0.0103160264313942
"5324_0",0.713398861872737,0.204460925751421
"5324_2",0.0653560958785998,0.061084676610107
"5324_3",0.0527677185721676,0.0499832864488561
"5324_4",0.168477323676496,0.140092715083301
"5325_0",0.714285714285714,0.204081632653061
"5325_2",0.0361951390103165,0.0348850509223404
"5325_3",0.0295506207378912,0.0286773815518966
"5325_4",0.219968525966078,0.171582373550389
"5327_0",0.967000691085003,0.0319103545261292
"5327_4",0.0238424326192122,0.0232739710260105
"5328_0",0.975458002073972,0.0239396882638272
